Form Type,Filing Date,Document URL,Shareholder Name,Ownership %
SC 13G/A,2023-02-13,https://www.sec.gov/Archives/edgar/data/0001731348/000139382523000185/tlry_13ga.htm,,9.0
SC 13G,2023-02-10,https://www.sec.gov/Archives/edgar/data/0001731348/000139382523000172/tlry_13g.htm,,9.0
SC 13D,2022-07-22,https://www.sec.gov/Archives/edgar/data/0001731348/000114036122026718/brhc10039890_sc13d.htm,,11.0
SC 13D,2021-12-17,https://www.sec.gov/Archives/edgar/data/0001731348/000114036121042235/brhc10031991_sc13d.htm,,11.0
SC 13D/A,2021-05-25,https://www.sec.gov/Archives/edgar/data/0001731348/000114036121018713/brhc10025106_sc13da.htm,,11.0
SC 13D/A,2021-02-16,https://www.sec.gov/Archives/edgar/data/0001731348/000119312521044899/d73199dsc13da.htm,,
SC 13D/A,2021-02-16,https://www.sec.gov/Archives/edgar/data/0001731348/000119312521044845/d108880dsc13da.htm,,
SC 13D/A,2021-02-16,https://www.sec.gov/Archives/edgar/data/0001731348/000119312521044824/d119834dsc13da.htm,,
SC 13G/A,2021-02-16,https://www.sec.gov/Archives/edgar/data/0001731348/000121390021009363/ea135748-sc13ga3etf_tilray.htm,,9.0
SC 13G/A,2021-02-16,https://www.sec.gov/Archives/edgar/data/0001731348/000110465921023273/tm216476d50_sc13ga.htm,,
SC 13G/A,2020-12-07,https://www.sec.gov/Archives/edgar/data/0001731348/000121390020041246/ea131147-sc13ga2etf_tilray.htm,,9.0
SC 13G/A,2020-11-16,https://www.sec.gov/Archives/edgar/data/0001731348/000121390020037205/ea129954-sc13ga1etf_tilray.htm,,9.0
SC 13D/A,2020-10-16,https://www.sec.gov/Archives/edgar/data/0001731348/000119312520271235/d37629dsc13da.htm,,
SC 13D/A,2020-09-24,https://www.sec.gov/Archives/edgar/data/0001731348/000119312520253487/d54543dsc13da.htm,,
SC 13G,2020-08-18,https://www.sec.gov/Archives/edgar/data/0001731348/000121390020022625/ea125692-13getf_tilrayinc.htm,,9.0
SC 13D/A,2020-06-19,https://www.sec.gov/Archives/edgar/data/0001731348/000119312520172662/d942561dsc13da.htm,,
SC 13G,2020-03-20,https://www.sec.gov/Archives/edgar/data/0001731348/000110465920036524/a20-13279_2sc13g.htm,,
SC 13D,2019-12-23,https://www.sec.gov/Archives/edgar/data/0001731348/000119312519322215/d855671dsc13d.htm,,
SC 13G,2019-12-23,https://www.sec.gov/Archives/edgar/data/0001731348/000119312519322211/d855687dsc13g.htm,,
SC 13G,2019-12-23,https://www.sec.gov/Archives/edgar/data/0001731348/000119312519322197/d855683dsc13g.htm,,
